sido,sigungu,age,2019,2020,2021,2022,2023,2024,2025
전국,,합계,805272,1279305,1015171,508790,555054,642576,726111
전국,,20대이하,35270,61919,63028,30405,25250,24090,26181
전국,,30대,163054,272657,210671,92447,126713,149344,178288
전국,,40대,209347,323223,232286,107582,131872,155310,174574
전국,,50대,182216,270393,206832,113422,126199,145021,157936
전국,,60대,107586,174816,147665,81113,87024,103227,113934
전국,,70대이상,45880,77609,70700,36310,35423,44466,53639
전국,,기타,61919,98688,83989,47511,22573,21118,21559
서울,,합계,131379,177757,126834,56007,64361,93418,126806
서울,,20대이하,5187,8917,9147,4565,3217,3513,4591
서울,,30대,28821,44023,31246,10963,16796,24894,36760
서울,,40대,32441,41274,26719,9983,15502,25133,34002
서울,,50대,27196,33833,21978,9700,12175,18591,23166
서울,,60대,16805,22054,14392,6294,7366,11046,13976
서울,,70대이상,7740,10364,8070,3536,3431,5605,8095
서울,,기타,13189,17292,15282,10966,5874,4636,6216
서울,종로구,합계,1775,2415,1972,946,918,1224,1563
서울,종로구,20대이하,70,128,124,70,36,48,63
서울,종로구,30대,285,468,399,158,161,239,362
서울,종로구,40대,423,558,422,218,190,272,383
서울,종로구,50대,482,541,426,174,240,287,321
서울,종로구,60대,230,322,231,145,128,192,213
서울,종로구,70대이상,96,155,106,63,74,93,139
서울,종로구,기타,189,243,264,118,89,93,82
서울,중구,합계,1607,1964,1327,712,940,1306,2018
서울,중구,20대이하,64,75,95,77,54,48,60
서울,중구,30대,373,579,396,150,236,391,664
서울,중구,40대,321,425,258,123,191,311,465
서울,중구,50대,348,315,211,88,178,253,363
서울,중구,60대,222,211,115,70,123,140,240
서울,중구,70대이상,82,123,73,28,51,82,115
서울,중구,기타,197,236,179,176,107,81,111
서울,용산구,합계,3490,4085,3323,1305,1415,2311,3220
서울,용산구,20대이하,168,217,236,95,82,113,138
서울,용산구,30대,697,949,833,290,339,608,885
서울,용산구,40대,846,1001,729,269,377,618,841
서울,용산구,50대,865,936,734,278,305,537,676
서울,용산구,60대,469,472,381,133,167,255,348
서울,용산구,70대이상,140,166,177,81,56,89,147
서울,용산구,기타,305,344,233,159,89,91,185
서울,성동구,합계,4406,4759,2613,1195,2083,3504,5745
서울,성동구,20대이하,109,143,155,90,84,108,140
서울,성동구,30대,1359,1837,958,243,776,1312,2074
서울,성동구,40대,1008,1132,651,204,463,976,1724
서울,성동구,50대,729,778,362,138,362,608,908
서울,성동구,60대,369,407,178,96,178,251,365
서울,성동구,70대이상,175,167,118,46,73,141,190
서울,성동구,기타,657,295,191,378,147,108,344
서울,광진구,합계,4018,4792,3813,1840,1914,3371,4991
서울,광진구,20대이하,137,212,253,130,87,154,183
서울,광진구,30대,783,852,746,323,409,775,1122
서울,광진구,40대,1062,1054,790,276,448,850,1259
서울,광진구,50대,941,1061,722,347,390,712,1082
서울,광진구,60대,541,662,514,243,268,411,638
서울,광진구,70대이상,257,302,288,147,102,167,282
서울,광진구,기타,297,649,500,374,210,302,425
서울,동대문구,합계,4757,5944,3549,1552,2272,3489,5493
서울,동대문구,20대이하,177,206,230,131,107,100,161
서울,동대문구,30대,1121,1729,1040,325,724,1046,1762
서울,동대문구,40대,989,1379,694,252,564,875,1351
서울,동대문구,50대,997,1068,591,299,397,670,914
서울,동대문구,60대,593,682,416,170,195,392,558
서울,동대문구,70대이상,319,368,219,90,96,226,326
서울,동대문구,기타,561,512,359,285,189,180,421
서울,중랑구,합계,4688,6596,5716,2669,2250,3420,4304
서울,중랑구,20대이하,164,272,412,224,126,150,170
서울,중랑구,30대,815,1392,1238,435,510,800,1041
서울,중랑구,40대,1030,1239,977,427,449,670,823
서울,중랑구,50대,1084,1431,1045,448,451,730,787
서울,중랑구,60대,754,1062,806,338,340,496,568
