date,region,전세수급,전세증감,매매증감,매수자,매수우위
1900-01-05,전국,,,0.1,,
1900-01-05,서울,125.72,0.0,0.11,9.68,73.47
1900-01-05,인천,143.04,0.12,0.23,25.19,103.22
1900-01-05,경기도,116.74,0.02,0.14,8.58,58.07
1900-01-05,부산,173.3,0.04,0.04,8.2,56.55
1900-01-05,대구,127.43,-0.03,-0.05,0.0,21.98
1900-01-05,광주,180.11,0.11,0.02,2.31,54.72
1900-01-05,대전,181.57,0.07,0.03,0.88,45.01
1900-01-05,세종,0.0,0.0,0.0,,0.0
1900-01-05,울산,113.04,-0.0,0.03,3.56,36.04
1900-01-05,강원,0.0,-0.07,0.12,0.0,0.0
1900-01-05,충북,0.0,0.06,0.0,0.0,0.0
1900-01-05,충남,0.0,0.1,0.14,0.0,0.0
1900-01-05,전북,0.0,0.07,0.18,0.0,0.0
1900-01-05,전남,0.0,0.0,0.15,0.0,0.0
1900-01-05,경북,0.0,0.03,0.02,0.0,0.0
1900-01-05,경남,0.0,0.05,0.11,0.0,0.0
1900-01-05,제주,0.0,0.0,0.0,0.0,0.0
1900-01-05,기타지방,149.59,0.04,0.1,12.1,60.39
1900-01-02,전국,,,-0.04,,
1900-01-02,서울,92.64,0.24,0.01,2.66,31.32
1900-01-02,인천,113.69,-0.23,-0.06,0.0,22.59
1900-01-02,경기도,88.17,0.02,-0.08,0.19,12.83
1900-01-02,부산,174.33,0.18,0.01,3.37,37.5
1900-01-02,대구,93.09,-0.33,-0.18,0.37,10.87
1900-01-02,광주,170.27,-0.02,-0.03,0.89,23.97
1900-01-02,대전,176.53,0.03,0.01,0.0,27.68
1900-01-02,세종,0.0,0.0,0.0,0.0,0.0
1900-01-02,울산,106.59,-0.06,0.0,2.18,26.8
1900-01-02,강원,0.0,0.0,-0.0,0.0,0.0
1900-01-02,충북,0.0,0.1,-0.11,0.0,0.0
1900-01-02,충남,0.0,0.03,-0.02,0.0,0.0
1900-01-02,전북,0.0,0.02,0.01,0.0,0.0
1900-01-02,전남,0.0,0.04,-0.01,0.0,0.0
1900-01-02,경북,0.0,-0.1,-0.14,0.0,0.0
1900-01-02,경남,0.0,0.05,-0.02,0.0,0.0
1900-01-02,제주,0.0,0.07,0.03,0.0,0.0
1900-01-02,기타지방,145.18,0.03,-0.04,2.66,37.77
2017-01-09,전국,,,0.0,,
2017-01-09,서울,146.87,0.01,0.0,2.55,56.64
2017-01-09,인천,145.33,0.02,-0.02,1.13,47.26
2017-01-09,경기도,146.67,0.0,0.01,1.64,44.43
2017-01-09,부산,128.7,0.05,0.09,3.1,53.9
2017-01-09,대구,139.37,-0.0,-0.05,0.91,23.76
2017-01-09,광주,167.31,0.01,-0.0,2.69,50.55
2017-01-09,대전,180.99,0.0,0.01,5.3,55.77
2017-01-09,세종,0.0,-0.02,0.01,0.0,0.0
2017-01-09,울산,128.48,0.02,-0.01,0.81,44.62
2017-01-09,강원,174.83,0.01,0.01,1.35,52.54
2017-01-09,충북,174.58,-0.01,-0.02,0.0,26.76
2017-01-09,충남,103.45,-0.03,-0.02,2.18,31.63
2017-01-09,전북,173.5,0.01,0.0,8.04,53.77
2017-01-09,전남,191.42,0.03,0.05,41.31,133.56
2017-01-09,경북,138.56,-0.02,-0.05,0.0,21.91
2017-01-09,경남,114.58,-0.04,-0.03,1.58,23.05
2017-01-09,제주,180.95,0.11,0.14,23.81,95.24
2017-01-09,기타지방,143.63,-0.01,-0.01,5.83,41.84
2017-01-16,전국,,,0.0,,
2017-01-16,서울,149.24,0.01,0.0,1.94,53.18
2017-01-16,인천,146.83,0.02,-0.01,1.4,51.03
2017-01-16,경기도,148.44,0.01,0.0,1.33,39.34
2017-01-16,부산,128.88,0.05,0.09,2.63,49.34
2017-01-16,대구,136.78,-0.05,-0.04,0.46,26.8
2017-01-16,광주,167.75,0.01,-0.02,2.67,45.26
2017-01-16,대전,189.28,0.03,0.01,3.19,32.29
2017-01-16,세종,0.0,-0.05,0.01,0.0,0.0
