date,region,index
2025-11,전국,96.0
2025-12,전국,96.1
2026-01,전국,96.3
2026-02,전국,96.5
2026-03,전국,96.6
2026-04,전국,96.9
2026-05,전국,96.9
2026-06,전국,98.1
2026-07,전국,98.7
2026-08,전국,98.8
2025-11,서울,104.6
2025-12,서울,105.1
2026-01,서울,105.1
2026-02,서울,104.7
2026-03,서울,104.5
2026-04,서울,106.0
2026-05,서울,109.0
2026-06,서울,110.0
2026-07,서울,111.0
2026-08,서울,111.5
2025-11,강북지역,105.1
2025-12,강북지역,105.8
2026-01,강북지역,105.3
2026-02,강북지역,105.2
2026-03,강북지역,105.5
2026-04,강북지역,107.2
2026-05,강북지역,110.9
2026-06,강북지역,112.0
2026-07,강북지역,113.1
2026-08,강북지역,113.3
2025-11,강남지역,103.9
2025-12,강남지역,104.0
2026-01,강남지역,104.7
2026-02,강남지역,104.0
2026-03,강남지역,103.1
2026-04,강남지역,104.1
2026-05,강남지역,106.2
2026-06,강남지역,107.0
2026-07,강남지역,107.9
2026-08,강남지역,108.6
2026-07,전남광주,93.7
2026-08,전남광주,94.6
2025-11,전남,90.4
2025-12,전남,89.5
2026-01,전남,88.9
2026-02,전남,89.8
2026-03,전남,88.9
2026-04,전남,90.4
2026-05,전남,90.6
2026-06,전남,91.5
2026-07,전남,92.7
2026-08,전남,92.7
2025-11,광주,93.9
2025-12,광주,96.7
2026-01,광주,97.2
2026-02,광주,96.1
2026-03,광주,92.2
2026-04,광주,90.6
2026-05,광주,88.9
2026-06,광주,91.1
2026-07,광주,95.6
2026-08,광주,98.3
2025-11,경기,95.8
2025-12,경기,95.9
2026-01,경기,95.9
2026-02,경기,97.1
2026-03,경기,97.2
2026-04,경기,96.7
2026-05,경기,94.8
2026-06,경기,97.0
2026-07,경기,97.8
2026-08,경기,98.0
2025-11,경부1권,105.4
2025-12,경부1권,105.2
2026-01,경부1권,104.2
2026-02,경부1권,104.2
2026-03,경부1권,105.5
2026-04,경부1권,102.6
2026-05,경부1권,100.6
2026-06,경부1권,104.1
2026-07,경부1권,105.4
2026-08,경부1권,106.8
2025-11,경부2권,97.1
2025-12,경부2권,98.5
2026-01,경부2권,97.1
2026-02,경부2권,99.8
2026-03,경부2권,99.0
2026-04,경부2권,98.8
2026-05,경부2권,98.1
2026-06,경부2권,98.1
2026-07,경부2권,99.2
2026-08,경부2권,97.6
2025-11,서해안권,97.1
2025-12,서해안권,97.2
2026-01,서해안권,98.3
2026-02,서해안권,99.2
2026-03,서해안권,99.8
2026-04,서해안권,100.8
2026-05,서해안권,97.3
2026-06,서해안권,98.3
2026-07,서해안권,98.7
2026-08,서해안권,100.5
2025-11,동부1권,100.9
2025-12,동부1권,100.7
2026-01,동부1권,98.8
2026-02,동부1권,102.1
2026-03,동부1권,101.9
2026-04,동부1권,101.2
2026-05,동부1권,97.6
2026-06,동부1권,102.4
2026-07,동부1권,104.9
2026-08,동부1권,104.3
2025-11,동부2권,92.6
2025-12,동부2권,92.3
2026-01,동부2권,92.9
2026-02,동부2권,95.5
2026-03,동부2권,96.5
2026-04,동부2권,93.6
2026-05,동부2권,92.0
2026-06,동부2권,99.4
2026-07,동부2권,92.9
2026-08,동부2권,94.2
2025-11,경의권,83.9
2025-12,경의권,83.9
2026-01,경의권,84.5
2026-02,경의권,84.1
2026-03,경의권,83.3
2026-04,경의권,83.1
2026-05,경의권,82.5
2026-06,경의권,82.5
2026-07,경의권,83.5
2026-08,경의권,81.9
2025-11,경원권,88.1
2025-12,경원권,87.9
2026-01,경원권,90.2
2026-02,경원권,88.8
2026-03,경원권,88.6
2026-04,경원권,89.5
2026-05,경원권,90.5
2026-06,경원권,91.9
2026-07,경원권,95.1
2026-08,경원권,95.1
2025-11,인천,92.1
2025-12,인천,92.1
2026-01,인천,93.1
2026-02,인천,90.7
2026-03,인천,91.6
2026-04,인천,92.7
2026-05,인천,90.4
2026-06,인천,91.5
2026-07,인천,94.8
2026-08,인천,94.5
2025-11,부산,86.4
2025-12,부산,86.5
2026-01,부산,86.2
2026-02,부산,86.6
2026-03,부산,86.5
2026-04,부산,85.9
2026-05,부산,85.6
2026-06,부산,85.5
2026-07,부산,85.0
2026-08,부산,84.4
2025-11,중부산권,88.9
2025-12,중부산권,90.0
2026-01,중부산권,90.0
2026-02,중부산권,90.0
2026-03,중부산권,89.8
2026-04,중부산권,91.7
2026-05,중부산권,90.0
2026-06,중부산권,89.8
2026-07,중부산권,89.6
2026-08,중부산권,89.6
2025-11,동부산권,89.9
2025-12,동부산권,88.3
2026-01,동부산권,87.2
2026-02,동부산권,87.9
2026-03,동부산권,87.6
2026-04,동부산권,84.6
2026-05,동부산권,85.9
2026-06,동부산권,85.9
2026-07,동부산권,86.2
2026-08,동부산권,86.6
2025-11,서부산권,77.9
2025-12,서부산권,78.3
2026-01,서부산권,78.3
2026-02,서부산권,79.1
2026-03,서부산권,79.5
2026-04,서부산권,77.5
2026-05,서부산권,77.5
2026-06,서부산권,77.5
2026-07,서부산권,75.4
2026-08,서부산권,73.0
2025-11,대구,74.7
2025-12,대구,73.5
2026-01,대구,72.5
2026-02,대구,72.8
2026-03,대구,73.8
2026-04,대구,72.2
2026-05,대구,72.5
2026-06,대구,71.3
2026-07,대구,71.9
2026-08,대구,72.2
2025-11,대전,97.3
2025-12,대전,98.4
2026-01,대전,97.6
2026-02,대전,97.3
2026-03,대전,98.9
2026-04,대전,98.6
2026-05,대전,96.8
2026-06,대전,98.1
2026-07,대전,97.8
2026-08,대전,98.1
2025-11,울산,84.7
2025-12,울산,85.0
2026-01,울산,85.3
2026-02,울산,88.1
2026-03,울산,88.1
2026-04,울산,88.1
2026-05,울산,88.1
2026-06,울산,88.4
2026-07,울산,88.4
2026-08,울산,88.1
2025-11,세종,97.0
2025-12,세종,97.6
2026-01,세종,101.2
2026-02,세종,97.6
2026-03,세종,97.6
2026-04,세종,98.2
2026-05,세종,98.2
2026-06,세종,97.6
2026-07,세종,98.8
2026-08,세종,99.4
2025-11,강원,98.3
2025-12,강원,98.3
2026-01,강원,99.6
2026-02,강원,99.6
2026-03,강원,100.0
2026-04,강원,99.1
2026-05,강원,100.0
2026-06,강원,99.1
2026-07,강원,98.7
2026-08,강원,98.3
2025-11,충북,90.9
2025-12,충북,89.7
2026-01,충북,94.2
2026-02,충북,95.5
2026-03,충북,96.3
2026-04,충북,96.3
2026-05,충북,95.5
2026-06,충북,96.3
2026-07,충북,96.3
2026-08,충북,97.1
2025-11,충남,94.2
2025-12,충남,91.4
2026-01,충남,92.0
2026-02,충남,92.6
2026-03,충남,96.0
2026-04,충남,96.6
2026-05,충남,92.6
2026-06,충남,96.9
2026-07,충남,89.6
2026-08,충남,90.8
2025-11,전북,93.5
2025-12,전북,93.1
2026-01,전북,96.6
2026-02,전북,97.8
2026-03,전북,96.1
2026-04,전북,98.3
2026-05,전북,98.7
2026-06,전북,101.7
2026-07,전북,101.7
2026-08,전북,103.9
2025-11,경북,92.3
2025-12,경북,92.6
2026-01,경북,91.3
2026-02,경북,91.5
2026-03,경북,92.3
2026-04,경북,92.3
2026-05,경북,91.5
