date,region,index
2025-11,도심권,110.3
2025-12,도심권,110.3
2026-01,도심권,110.3
2026-02,도심권,108.0
2026-03,도심권,108.9
2026-04,도심권,108.9
2026-05,도심권,111.2
2026-06,도심권,109.9
2026-07,도심권,109.9
2026-08,도심권,109.9
2025-11,동북권,103.3
2025-12,동북권,104.7
2026-01,동북권,104.2
2026-02,동북권,105.1
2026-03,동북권,104.7
2026-04,동북권,107.1
2026-05,동북권,111.0
2026-06,동북권,113.1
2026-07,동북권,115.1
2026-08,동북권,115.4
2025-11,서북권,104.1
2025-12,서북권,104.5
2026-01,서북권,103.7
2026-02,서북권,103.6
2026-03,서북권,104.5
2026-04,서북권,106.5
2026-05,서북권,110.6
2026-06,서북권,111.9
2026-07,서북권,112.3
2026-08,서북권,112.7
2025-11,서남권,104.1
2025-12,서남권,104.1
2026-01,서남권,105.3
2026-02,서남권,104.4
2026-03,서남권,103.2
2026-04,서남권,104.4
2026-05,서남권,105.7
2026-06,서남권,106.7
2026-07,서남권,107.4
2026-08,서남권,110.9
2025-11,동남권,103.6
2025-12,동남권,103.7
2026-01,동남권,103.7
2026-02,동남권,103.4
2026-03,동남권,102.9
2026-04,동남권,103.6
2026-05,동남권,107.0
2026-06,동남권,107.5
2026-07,동남권,108.7
2026-08,동남권,104.9
